       8  PHL2525    STCOR   PHL2525_cleanbaseavg.fits
GALACTIC
coordinates (deg)    8.068270e+01 -7.131694e+01
VLSR          Ta*
      -5.905e+02       4.269e-02
      -5.893e+02       5.922e-02
      -5.881e+02       3.920e-02
      -5.869e+02       6.175e-02
      -5.857e+02       3.869e-02
      -5.845e+02       6.589e-02
      -5.833e+02       5.865e-02
      -5.820e+02       5.080e-02
      -5.808e+02       4.702e-02
      -5.796e+02       4.563e-02
      -5.784e+02       4.846e-02
      -5.772e+02       3.546e-02
      -5.760e+02       4.646e-02
      -5.748e+02       4.522e-02
      -5.736e+02       5.810e-02
      -5.724e+02       5.561e-02
      -5.712e+02       4.957e-02
      -5.700e+02       3.279e-02
      -5.688e+02       4.902e-02
      -5.676e+02       6.006e-02
      -5.663e+02       4.129e-02
      -5.651e+02       5.073e-02
      -5.639e+02       3.928e-02
      -5.627e+02       4.967e-02
      -5.615e+02       4.834e-02
      -5.603e+02       4.189e-02
      -5.591e+02       3.597e-02
      -5.579e+02       4.073e-02
      -5.567e+02       4.641e-02
      -5.555e+02       4.840e-02
      -5.543e+02       4.003e-02
      -5.531e+02       4.038e-02
      -5.519e+02       3.843e-02
      -5.506e+02       4.039e-02
      -5.494e+02       3.755e-02
      -5.482e+02       2.810e-02
      -5.470e+02       2.592e-02
      -5.458e+02       2.938e-02
      -5.446e+02       2.620e-02
      -5.434e+02       3.042e-02
      -5.422e+02       1.864e-02
      -5.410e+02       2.690e-02
      -5.398e+02       1.752e-02
      -5.386e+02       8.551e-03
      -5.374e+02       3.625e-03
      -5.362e+02       1.873e-02
      -5.349e+02       1.373e-02
      -5.337e+02       2.636e-02
      -5.325e+02       2.030e-02
      -5.313e+02       3.126e-02
      -5.301e+02       1.189e-02
      -5.289e+02       1.587e-02
      -5.277e+02       1.285e-02
      -5.265e+02       1.218e-02
      -5.253e+02       2.674e-02
      -5.241e+02       1.650e-02
      -5.229e+02       1.965e-02
      -5.217e+02       1.892e-02
      -5.204e+02       1.736e-02
      -5.192e+02       3.461e-03
      -5.180e+02       2.284e-02
      -5.168e+02       1.412e-02
      -5.156e+02       2.053e-02
      -5.144e+02       1.390e-02
      -5.132e+02       1.637e-02
