      26  PHL2525pm3 STCOR 0   PHL2525_cleanbaseavg.fits
GALACTIC
coordinates (deg)    8.228360e+01 -7.181690e+01
VLSR          Ta*
      -5.905e+02       1.667e-02
      -5.893e+02      -3.131e-03
      -5.881e+02       4.658e-04
      -5.869e+02      -2.546e-04
      -5.857e+02       2.762e-02
      -5.845e+02       2.932e-02
      -5.833e+02       1.184e-02
      -5.820e+02       1.305e-02
      -5.808e+02       2.316e-02
      -5.796e+02       2.885e-02
      -5.784e+02       2.735e-02
      -5.772e+02      -2.108e-03
      -5.760e+02       2.481e-02
      -5.748e+02       2.263e-02
      -5.736e+02       4.884e-02
      -5.724e+02       1.253e-02
      -5.712e+02       1.097e-02
      -5.700e+02      -1.812e-03
      -5.688e+02       3.037e-02
      -5.676e+02       6.907e-03
      -5.663e+02       1.357e-02
      -5.651e+02       2.727e-02
      -5.639e+02      -2.237e-02
      -5.627e+02      -4.076e-03
      -5.615e+02       1.024e-02
      -5.603e+02       2.165e-02
      -5.591e+02       2.302e-02
      -5.579e+02      -1.441e-03
      -5.567e+02      -2.998e-03
      -5.555e+02       7.576e-03
      -5.543e+02       2.029e-02
      -5.531e+02      -3.096e-02
      -5.519e+02      -4.522e-02
      -5.506e+02       1.017e-02
      -5.494e+02      -4.860e-03
      -5.482e+02      -1.970e-02
      -5.470e+02      -4.235e-03
      -5.458e+02       1.220e-02
      -5.446e+02      -7.093e-03
      -5.434e+02      -2.113e-02
      -5.422e+02      -1.705e-02
      -5.410e+02      -1.446e-02
      -5.398e+02      -2.061e-02
      -5.386e+02      -1.492e-02
      -5.374e+02       5.087e-03
      -5.362e+02      -2.434e-02
      -5.349e+02       8.281e-03
      -5.337e+02       4.656e-03
      -5.325e+02      -1.787e-02
      -5.313e+02       1.736e-02
      -5.301e+02      -1.601e-02
      -5.289e+02      -1.194e-02
      -5.277e+02      -6.057e-03
      -5.265e+02      -8.262e-03
      -5.253e+02       2.840e-02
      -5.241e+02      -2.029e-02
      -5.229e+02      -1.290e-02
      -5.217e+02      -1.161e-02
      -5.205e+02      -1.423e-02
      -5.192e+02      -1.389e-02
      -5.180e+02       9.214e-03
      -5.168e+02      -1.366e-02
      -5.156e+02       7.270e-03
      -5.144e+02      -1.839e-02
      -5.132e+02      -3.683e-03
      -5.120e+02      -2.112e-02
      -5.108e+02      -1.481e-02
      -5.096e+02       9.288e-03
      -5.084e+02      -3.154e-02
      -5.072e+02      -8.393e-03
      -5.060e+02      -6.149e-03
      -5.047e+02       1.253e-02
      -5.035e+02      -3.652e-02
      -5.023e+02       2.504e-03
      -5.011e+02       1.774e-02
      -4.999e+02      -1.996e-03
      -4.987e+02       2.966e-03
      -4.975e+02       1.281e-02
      -4.963e+02      -1.563e-02
      -4.951e+02      -3.103e-03
      -4.939e+02       1.117e-02
      -4.927e+02      -1.229e-02
      -4.915e+02       1.834e-03
      -4.903e+02       9.400e-03
      -4.890e+02       1.861e-02
      -4.878e+02       6.364e-03
      -4.866e+02      -1.441e-02
      -4.854e+02      -1.030e-02
      -4.842e+02       7.292e-04
      -4.830e+02       7.286e-04
      -4.818e+02      -3.163e-02
      -4.806e+02       1.609e-02
      -4.794e+02      -8.931e-03
      -4.782e+02      -1.039e-02
      -4.770e+02       8.961e-03
      -4.758e+02      -3.675e-03
      -4.746e+02      -2.617e-02
      -4.733e+02      -1.871e-03
      -4.721e+02       9.802e-03
      -4.709e+02       2.756e-03
      -4.697e+02      -1.120e-02
      -4.685e+02       1.272e-02
      -4.673e+02      -4.602e-03
      -4.661e+02       2.025e-02
      -4.649e+02       8.323e-03
      -4.637e+02       1.083e-02
      -4.625e+02      -1.184e-02
      -4.613e+02       1.009e-02
      -4.601e+02       1.466e-02
      -4.589e+02      -1.524e-02
      -4.576e+02      -2.791e-02
      -4.564e+02       2.744e-02
      -4.552e+02       9.868e-03
      -4.540e+02       1.976e-02
      -4.528e+02      -3.636e-03
      -4.516e+02      -6.789e-03
      -4.504e+02       1.994e-02
      -4.492e+02      -1.846e-02
      -4.480e+02      -7.643e-04
      -4.468e+02       1.239e-02
      -4.456e+02       4.571e-03
      -4.444e+02       1.835e-02
      -4.431e+02      -1.233e-02
      -4.419e+02      -3.030e-02
      -4.407e+02       6.445e-04
      -4.395e+02       1.321e-02
      -4.383e+02      -8.026e-03
      -4.371e+02       1.238e-03
      -4.359e+02      -1.285e-02
      -4.347e+02       8.136e-03
      -4.335e+02       1.668e-02
      -4.323e+02       1.260e-03
      -4.311e+02       1.395e-02
      -4.299e+02       1.294e-02
      -4.287e+02       1.972e-03
      -4.274e+02      -6.049e-03
      -4.262e+02       1.812e-02
      -4.250e+02      -1.142e-02
      -4.238e+02       1.589e-02
      -4.226e+02       3.786e-04
      -4.214e+02       1.371e-02
      -4.202e+02      -4.298e-03
      -4.190e+02      -5.801e-03
      -4.178e+02       1.145e-02
      -4.166e+02      -2.124e-02
      -4.154e+02       6.142e-03
      -4.142e+02      -1.814e-02
      -4.130e+02       1.357e-02
      -4.117e+02       2.851e-03
      -4.105e+02      -9.418e-03
      -4.093e+02      -2.691e-02
      -4.081e+02      -1.800e-02
      -4.069e+02       1.226e-02
      -4.057e+02       1.523e-02
      -4.045e+02      -1.473e-02
      -4.033e+02      -1.481e-02
      -4.021e+02       2.067e-02
      -4.009e+02       2.517e-02
      -3.997e+02       8.153e-03
      -3.985e+02       6.156e-03
      -3.973e+02       1.165e-02
      -3.960e+02      -2.588e-02
      -3.948e+02       2.142e-02
      -3.936e+02       1.806e-03
      -3.924e+02      -1.057e-02
      -3.912e+02       1.523e-03
      -3.900e+02       9.338e-03
      -3.888e+02      -1.600e-02
      -3.876e+02       1.017e-02
      -3.864e+02      -3.710e-02
      -3.852e+02       2.259e-02
      -3.840e+02       1.113e-02
      -3.828e+02       3.976e-03
      -3.815e+02      -7.986e-04
      -3.803e+02      -1.119e-02
      -3.791e+02       7.421e-03
      -3.779e+02      -2.335e-02
      -3.767e+02       1.616e-02
      -3.755e+02      -1.618e-02
      -3.743e+02       2.521e-04
      -3.731e+02      -7.159e-03
      -3.719e+02      -8.237e-03
      -3.707e+02      -1.517e-02
      -3.695e+02      -1.750e-02
      -3.683e+02       1.798e-02
      -3.671e+02      -1.071e-02
      -3.658e+02       2.531e-02
      -3.646e+02       2.192e-02
      -3.634e+02       1.758e-02
      -3.622e+02      -1.879e-02
      -3.610e+02      -9.902e-03
      -3.598e+02       4.718e-03
      -3.586e+02      -1.269e-02
      -3.574e+02      -3.879e-03
      -3.562e+02      -3.572e-02
      -3.550e+02      -3.531e-02
      -3.538e+02       1.250e-03
