
      28  PHL2525mp3 STCOR 0   PHL2525_cleanbaseavg.fits
GALACTIC
coordinates (deg)    7.915974e+01 -7.081588e+01
VLSR          Ta*
      -5.905e+02       5.879e-02
      -5.893e+02       2.836e-02
      -5.881e+02       1.004e-02
      -5.869e+02       2.381e-02
      -5.857e+02      -1.563e-02
      -5.845e+02       1.230e-02
      -5.833e+02       7.788e-03
      -5.820e+02       2.232e-02
      -5.808e+02       3.016e-02
      -5.796e+02       3.220e-02
      -5.784e+02       3.773e-02
      -5.772e+02       2.257e-02
      -5.760e+02       3.405e-02
      -5.748e+02       1.820e-03
      -5.736e+02       6.145e-03
      -5.724e+02       1.737e-02
      -5.712e+02       5.632e-02
      -5.700e+02       4.167e-02
      -5.688e+02       1.179e-02
      -5.676e+02       2.051e-02
      -5.663e+02       2.876e-02
      -5.651e+02      -1.676e-02
      -5.639e+02       5.603e-02
      -5.627e+02      -2.276e-03
      -5.615e+02      -2.316e-03
      -5.603e+02       4.407e-02
      -5.591e+02       4.300e-02
      -5.579e+02       1.408e-02
      -5.567e+02       6.333e-02
      -5.555e+02       5.982e-02
      -5.543e+02       2.321e-02
      -5.531e+02       4.239e-02
      -5.519e+02       1.377e-02
      -5.506e+02       1.759e-02
      -5.494e+02       3.079e-02
      -5.482e+02      -6.251e-03
      -5.470e+02      -7.068e-03
      -5.458e+02       5.516e-03
      -5.446e+02       6.753e-03
      -5.434e+02       5.353e-03
      -5.422e+02       3.826e-03
      -5.410e+02       1.653e-02
      -5.398e+02       1.206e-02
      -5.386e+02       4.817e-03
      -5.374e+02       1.372e-02
      -5.362e+02      -8.559e-05
      -5.349e+02       3.511e-02
      -5.337e+02      -1.832e-02
      -5.325e+02      -1.895e-02
      -5.313e+02       9.333e-04
      -5.301e+02      -1.645e-02
      -5.289e+02      -9.370e-03
      -5.277e+02      -2.995e-04
      -5.265e+02       2.353e-02
      -5.253e+02       9.227e-03
      -5.241e+02       1.658e-03
      -5.229e+02       8.121e-03
      -5.217e+02       1.030e-02
      -5.204e+02      -8.123e-03
      -5.192e+02      -8.692e-04
      -5.180e+02       3.211e-02
      -5.168e+02       1.560e-02
      -5.156e+02       5.483e-03
      -5.144e+02       1.017e-02
      -5.132e+02       2.395e-02
      -5.120e+02      -4.501e-03
      -5.108e+02      -1.691e-02
      -5.096e+02       1.328e-02
      -5.084e+02      -2.328e-03
      -5.072e+02       2.133e-02
      -5.060e+02       3.484e-02
      -5.047e+02       2.823e-03
      -5.035e+02      -6.939e-03
      -5.023e+02      -8.743e-03
      -5.011e+02      -1.920e-03
      -4.999e+02      -2.712e-02
      -4.987e+02       3.520e-02
