      25  PHL2525mm3 STCOR 0   PHL2525_cleanbaseavg.fits
GALACTIC
coordinates (deg)    7.907995e+01 -7.181703e+01
VLSR          Ta*
      -5.905e+02       1.084e-02
      -5.893e+02       1.010e-02
      -5.881e+02       1.348e-02
      -5.869e+02      -3.175e-03
      -5.857e+02       2.137e-02
      -5.845e+02       1.941e-03
      -5.833e+02       1.784e-02
      -5.820e+02       6.684e-03
      -5.808e+02       1.225e-03
      -5.796e+02      -8.562e-03
      -5.784e+02       4.092e-02
      -5.772e+02       3.596e-03
      -5.760e+02       2.586e-02
      -5.748e+02       7.155e-03
      -5.736e+02      -1.012e-02
      -5.724e+02       8.781e-03
      -5.712e+02       2.907e-02
      -5.700e+02       1.426e-02
      -5.688e+02       2.509e-02
      -5.676e+02       1.112e-02
      -5.663e+02      -2.573e-03
      -5.651e+02       7.144e-03
      -5.639e+02      -5.513e-04
      -5.627e+02       2.899e-03
      -5.615e+02       1.496e-02
      -5.603e+02       2.953e-02
      -5.591e+02       2.730e-02
      -5.579e+02      -1.015e-03
      -5.567e+02       3.846e-02
      -5.555e+02       1.624e-02
      -5.543e+02       1.476e-02
      -5.531e+02       2.599e-02
      -5.519e+02       2.714e-02
      -5.506e+02       7.655e-03
      -5.494e+02       1.702e-02
      -5.482e+02       1.915e-02
      -5.470e+02       2.916e-02
      -5.458e+02       5.001e-03
      -5.446e+02       4.082e-02
      -5.434e+02      -1.622e-02
      -5.422e+02       6.162e-03
      -5.410e+02       8.496e-03
      -5.398e+02      -6.221e-03
      -5.386e+02       2.377e-02
      -5.374e+02       1.060e-02
      -5.362e+02       1.084e-02
      -5.349e+02       4.806e-02
      -5.337e+02       2.334e-02
      -5.325e+02      -1.646e-02
      -5.313e+02      -6.538e-03
      -5.301e+02       2.340e-03
      -5.289e+02       6.520e-03
      -5.277e+02       6.126e-03
      -5.265e+02      -3.454e-02
      -5.253e+02       1.220e-03
      -5.241e+02      -4.094e-03
      -5.229e+02       1.493e-02
      -5.217e+02       9.649e-03
      -5.204e+02       9.056e-03
      -5.192e+02       1.783e-02
      -5.180e+02       4.378e-03
      -5.168e+02       3.523e-02
      -5.156e+02      -3.196e-02
      -5.144e+02      -9.231e-03
      -5.132e+02       1.858e-03
      -5.120e+02       1.609e-02
      -5.108e+02       3.581e-02
      -5.096e+02       7.692e-03
      -5.084e+02       1.244e-02
      -5.072e+02       1.067e-02
      -5.060e+02      -1.703e-03
      -5.047e+02      -1.575e-02
      -5.035e+02       7.751e-03
      -5.023e+02      -2.043e-03
      -5.011e+02      -3.186e-02
      -4.999e+02      -1.073e-02
      -4.987e+02       3.744e-03
      -4.975e+02       2.350e-02
      -4.963e+02       1.848e-02
      -4.951e+02      -1.139e-02
      -4.939e+02       1.676e-02
      -4.927e+02      -1.795e-02
      -4.915e+02       5.141e-03
      -4.903e+02      -1.176e-02
      -4.890e+02      -9.502e-03
      -4.878e+02      -2.349e-03
      -4.866e+02      -1.501e-02
      -4.854e+02       1.122e-02
      -4.842e+02       9.439e-03
      -4.830e+02      -1.502e-02
      -4.818e+02      -6.215e-03
      -4.806e+02      -2.950e-03
      -4.794e+02       3.558e-03
      -4.782e+02       1.531e-02
      -4.770e+02       2.011e-02
      -4.758e+02       8.030e-04
      -4.746e+02       8.263e-03
      -4.733e+02       2.524e-02
      -4.721e+02      -8.136e-03
      -4.709e+02      -9.473e-04
      -4.697e+02      -5.771e-03
      -4.685e+02      -1.387e-02
      -4.673e+02      -1.249e-02
      -4.661e+02      -1.877e-03
      -4.649e+02       3.828e-02
      -4.637e+02       1.544e-03
      -4.625e+02      -1.768e-03
      -4.613e+02       8.290e-03
      -4.601e+02      -1.675e-02
      -4.589e+02       5.340e-03
      -4.576e+02       1.886e-02
      -4.564e+02      -1.476e-02
      -4.552e+02       1.955e-02
      -4.540e+02      -5.546e-03
      -4.528e+02       4.278e-04
      -4.516e+02       1.408e-02
      -4.504e+02       1.708e-02
      -4.492e+02      -9.870e-03
      -4.480e+02      -1.303e-02
      -4.468e+02       5.273e-03
      -4.456e+02       6.666e-03
      -4.444e+02       3.200e-03
      -4.431e+02      -1.348e-02
      -4.419e+02      -1.467e-02
      -4.407e+02      -2.260e-02
      -4.395e+02      -5.897e-03
      -4.383e+02       2.016e-02
      -4.371e+02      -1.297e-03
      -4.359e+02      -1.629e-03
      -4.347e+02      -5.627e-03
      -4.335e+02      -9.091e-03
      -4.323e+02      -7.899e-03
      -4.311e+02      -4.197e-04
      -4.299e+02       1.963e-02
      -4.287e+02       1.399e-02
      -4.274e+02      -1.340e-02
      -4.262e+02      -2.625e-02
      -4.250e+02       1.226e-02
      -4.238e+02      -1.314e-03
      -4.226e+02       1.409e-02
      -4.214e+02       2.996e-02
      -4.202e+02       2.201e-02
      -4.190e+02       5.313e-06
      -4.178e+02      -1.117e-02
      -4.166e+02      -1.385e-02
      -4.154e+02       9.138e-03
      -4.142e+02       1.209e-03
      -4.130e+02      -1.030e-02
      -4.117e+02      -2.013e-02
      -4.105e+02      -1.023e-02
      -4.093e+02       5.993e-03
      -4.081e+02      -1.749e-02
      -4.069e+02       4.601e-03
      -4.057e+02       1.279e-02
      -4.045e+02       1.252e-02
      -4.033e+02      -2.474e-02
      -4.021e+02      -9.223e-03
      -4.009e+02      -3.415e-03
      -3.997e+02       1.489e-02
      -3.985e+02      -3.995e-04
      -3.973e+02      -1.227e-02
      -3.960e+02      -4.831e-04
      -3.948e+02      -4.402e-03
