      27  PHL2525pp3 STCOR 0   PHL2525_cleanbaseavg.fits
GALACTIC
coordinates (deg)    8.220372e+01 -7.081595e+01
VLSR          Ta*
      -5.905e+02      -2.520e-02
      -5.893e+02       2.588e-02
      -5.881e+02       8.177e-03
      -5.869e+02       2.694e-02
      -5.857e+02       2.455e-02
      -5.845e+02       5.921e-02
      -5.833e+02       3.362e-02
      -5.820e+02       9.005e-03
      -5.808e+02       3.550e-02
      -5.796e+02       9.683e-03
      -5.784e+02       4.688e-02
      -5.772e+02       3.450e-02
      -5.760e+02       6.027e-02
      -5.748e+02       2.278e-02
      -5.736e+02       1.192e-02
      -5.724e+02       2.101e-02
      -5.712e+02       3.566e-02
      -5.700e+02       2.547e-02
      -5.688e+02       2.549e-02
      -5.676e+02       2.031e-02
      -5.663e+02       4.508e-02
      -5.651e+02       2.835e-02
      -5.639e+02       1.848e-02
      -5.627e+02       2.891e-02
      -5.615e+02       2.243e-02
      -5.603e+02      -9.383e-03
      -5.591e+02       1.172e-02
      -5.579e+02       1.430e-03
      -5.567e+02       3.058e-02
      -5.555e+02       2.161e-02
      -5.543e+02       8.267e-03
      -5.531e+02       4.857e-02
      -5.519e+02       2.275e-02
      -5.506e+02       3.227e-02
      -5.494e+02       1.952e-02
      -5.482e+02       1.272e-02
      -5.470e+02       1.441e-02
      -5.458e+02       6.148e-03
      -5.446e+02       1.067e-03
      -5.434e+02      -6.876e-03
      -5.422e+02      -9.535e-03
      -5.410e+02       3.547e-03
      -5.398e+02       1.079e-02
      -5.386e+02       2.207e-02
      -5.374e+02       1.908e-02
      -5.362e+02       1.961e-02
      -5.349e+02       3.935e-03
      -5.337e+02       1.026e-02
      -5.325e+02      -1.220e-02
      -5.313e+02      -6.319e-03
      -5.301e+02       5.004e-03
      -5.289e+02      -1.422e-02
      -5.277e+02       5.327e-03
      -5.265e+02       2.953e-02
      -5.253e+02      -5.707e-03
      -5.241e+02      -1.213e-02
      -5.229e+02      -1.202e-02
      -5.217e+02      -7.870e-03
      -5.204e+02      -5.148e-03
      -5.192e+02      -1.026e-02
      -5.180e+02       1.552e-02
      -5.168e+02       2.128e-02
      -5.156e+02      -2.623e-02
      -5.144e+02      -2.334e-02
      -5.132e+02       1.459e-02
      -5.120e+02      -1.395e-02
      -5.108e+02      -1.891e-03
      -5.096e+02      -6.550e-03
      -5.084e+02      -8.285e-03
      -5.072e+02       2.616e-02
      -5.060e+02       2.485e-03
      -5.047e+02       7.399e-03
      -5.035e+02       2.626e-02
      -5.023e+02      -1.124e-02
      -5.011e+02       3.312e-03
      -4.999e+02       3.321e-02
      -4.987e+02       2.159e-02
      -4.975e+02       8.147e-03
      -4.963e+02      -1.754e-02
      -4.951e+02      -3.560e-02
      -4.939e+02       6.487e-03
      -4.927e+02      -4.156e-03
      -4.915e+02       1.079e-02
      -4.903e+02       1.629e-02
      -4.890e+02      -1.162e-02
      -4.878e+02       9.169e-03
      -4.866e+02       2.586e-03
      -4.854e+02       3.485e-02
      -4.842e+02       1.421e-02
      -4.830e+02      -1.879e-02
      -4.818e+02      -1.617e-03
      -4.806e+02      -9.224e-03
      -4.794e+02      -4.606e-03
      -4.782e+02      -7.946e-03
      -4.770e+02      -1.005e-02
      -4.758e+02      -8.711e-03
      -4.746e+02      -2.163e-02
      -4.733e+02       8.700e-03
      -4.721e+02      -1.891e-03
      -4.709e+02      -6.760e-03
      -4.697e+02       1.265e-02
      -4.685e+02       2.359e-02
      -4.673e+02       5.195e-03
      -4.661e+02       1.491e-02
      -4.649e+02       2.217e-02
      -4.637e+02       2.120e-02
      -4.625e+02       1.637e-03
      -4.613e+02       1.885e-02
      -4.601e+02      -2.210e-02
      -4.589e+02      -2.223e-02
      -4.576e+02       4.906e-03
      -4.564e+02       1.499e-02
      -4.552e+02      -2.755e-02
      -4.540e+02       1.119e-02
      -4.528e+02       1.635e-02
      -4.516e+02      -1.689e-03
      -4.504e+02      -2.186e-03
      -4.492e+02       2.483e-02
      -4.480e+02      -1.040e-02
      -4.468e+02      -1.919e-02
      -4.456e+02       2.059e-02
      -4.444e+02      -2.089e-02
      -4.431e+02      -2.165e-02
      -4.419e+02      -7.249e-03
      -4.407e+02       2.997e-02
      -4.395e+02       1.542e-02
      -4.383e+02      -1.697e-02
      -4.371e+02      -2.521e-02
      -4.359e+02       6.373e-03
      -4.347e+02      -6.635e-03
      -4.335e+02       2.075e-02
      -4.323e+02       4.873e-03
      -4.311e+02       2.396e-03
      -4.299e+02       9.897e-03
      -4.287e+02      -3.518e-02
      -4.274e+02      -2.489e-02
      -4.262e+02       2.097e-02
      -4.250e+02      -1.244e-02
      -4.238e+02      -2.071e-02
      -4.226e+02       2.523e-02
      -4.214e+02      -2.367e-02
      -4.202e+02      -6.520e-03
      -4.190e+02       2.005e-04
      -4.178e+02       1.018e-02
