      9  PHL2525p60 STCOR   PHL2525_cleanbaseavg.fits
GALACTIC
coordinates (deg)    8.380458e+01 -7.131687e+01
VLSR          Ta*
      -5.905e+02      -1.670e-02
      -5.893e+02       1.162e-02
      -5.881e+02      -8.229e-04
      -5.869e+02       2.909e-02
      -5.857e+02       3.290e-02
      -5.845e+02       7.507e-03
      -5.833e+02      -5.296e-03
      -5.820e+02       1.227e-02
      -5.808e+02       1.023e-02
      -5.796e+02       1.033e-02
      -5.784e+02       2.497e-02
      -5.772e+02       2.716e-02
      -5.760e+02       7.364e-03
      -5.748e+02       3.821e-02
      -5.736e+02       3.162e-02
      -5.724e+02       3.221e-02
      -5.712e+02       1.970e-02
      -5.700e+02       4.168e-02
      -5.688e+02       2.162e-02
      -5.676e+02       2.097e-02
      -5.663e+02       3.126e-02
      -5.651e+02       2.867e-02
      -5.639e+02       1.820e-02
      -5.627e+02      -5.576e-03
      -5.615e+02       2.097e-02
      -5.603e+02       1.578e-02
      -5.591e+02       2.629e-02
      -5.579e+02       3.618e-02
      -5.567e+02       2.184e-02
      -5.555e+02       9.260e-03
      -5.543e+02      -1.266e-02
      -5.531e+02       1.854e-02
      -5.519e+02       8.351e-03
      -5.506e+02       2.305e-02
      -5.494e+02       1.274e-02
      -5.482e+02       1.764e-02
      -5.470e+02       3.552e-02
      -5.458e+02      -4.437e-03
      -5.446e+02       5.345e-03
      -5.434e+02       3.052e-02
      -5.422e+02       1.603e-02
      -5.410e+02       1.023e-02
      -5.398e+02       1.274e-02
      -5.386e+02      -2.542e-03
      -5.374e+02       9.716e-03
      -5.362e+02      -3.542e-03
      -5.349e+02       1.844e-02
      -5.337e+02       5.382e-03
      -5.325e+02      -9.861e-03
      -5.313e+02       1.579e-02
      -5.301e+02      -8.649e-04
      -5.289e+02       5.512e-03
      -5.277e+02       1.116e-02
      -5.265e+02       4.931e-03
      -5.253e+02       1.165e-04
      -5.241e+02       6.775e-04
      -5.229e+02       1.133e-02
      -5.217e+02      -5.148e-03
      -5.205e+02       1.388e-02
      -5.192e+02       9.209e-03
      -5.180e+02      -1.988e-03
      -5.168e+02      -2.037e-02
      -5.156e+02      -6.995e-03
      -5.144e+02      -7.988e-03
      -5.132e+02       8.849e-03
      -5.120e+02       1.635e-02
      -5.108e+02      -4.203e-03
      -5.096e+02       1.229e-02
      -5.084e+02       3.541e-03
      -5.072e+02      -1.233e-02
      -5.060e+02      -3.728e-03
      -5.047e+02       2.751e-03
      -5.035e+02       4.842e-03
      -5.023e+02       4.969e-03
      -5.011e+02       1.868e-02
      -4.999e+02      -3.742e-03
      -4.987e+02       7.357e-03
      -4.975e+02       8.449e-04
      -4.963e+02       6.408e-03
      -4.951e+02      -5.412e-03
      -4.939e+02       1.563e-02
      -4.927e+02       3.364e-03
      -4.915e+02      -1.369e-02
      -4.903e+02       1.399e-02
      -4.890e+02       1.019e-02
      -4.878e+02      -8.630e-03
      -4.866e+02       9.827e-03
      -4.854e+02      -6.073e-03
      -4.842e+02      -2.266e-02
      -4.830e+02       9.647e-03
      -4.818e+02       1.791e-02
      -4.806e+02      -8.237e-03
      -4.794e+02       9.171e-03
      -4.782e+02       1.086e-02
      -4.770e+02      -4.546e-03
      -4.758e+02       2.916e-03
      -4.746e+02      -2.411e-02
      -4.733e+02      -1.434e-02
      -4.721e+02      -1.658e-02
      -4.709e+02      -9.592e-03
      -4.697e+02      -1.744e-03
      -4.685e+02      -2.087e-02
      -4.673e+02      -1.349e-02
      -4.661e+02       3.206e-03
      -4.649e+02       9.792e-03
      -4.637e+02      -1.838e-02
      -4.625e+02       1.323e-02
      -4.613e+02       1.040e-02
      -4.601e+02       7.136e-03
      -4.589e+02       2.179e-02
      -4.576e+02      -5.998e-03
