      11  PHL2525n30 STCOR   PHL2525_cleanbaseavg.fits
GALACTIC
coordinates (deg)    7.912187e+01 -7.131698e+01
VLSR          Ta*
      -5.905e+02      -1.232e-02
      -5.893e+02       8.506e-03
      -5.881e+02       1.659e-02
      -5.869e+02       1.517e-02
      -5.857e+02      -2.881e-03
      -5.845e+02       1.138e-02
      -5.833e+02       2.412e-02
      -5.820e+02      -2.388e-03
      -5.808e+02       3.805e-02
      -5.796e+02       3.030e-02
      -5.784e+02       3.706e-02
      -5.772e+02      -2.128e-03
      -5.760e+02       5.372e-02
      -5.748e+02      -7.504e-03
      -5.736e+02       2.924e-02
      -5.724e+02       3.234e-02
      -5.712e+02       2.622e-02
      -5.700e+02       1.585e-02
      -5.688e+02       1.834e-02
      -5.676e+02       2.738e-02
      -5.663e+02       6.911e-02
      -5.651e+02       3.718e-02
      -5.639e+02       1.336e-02
      -5.627e+02       3.468e-02
      -5.615e+02       2.546e-03
      -5.603e+02       1.704e-02
      -5.591e+02       2.265e-03
      -5.579e+02       3.356e-02
      -5.567e+02       1.463e-02
      -5.555e+02      -1.205e-02
      -5.543e+02       5.579e-02
      -5.531e+02       4.437e-02
      -5.519e+02      -2.032e-02
      -5.506e+02       4.345e-03
      -5.494e+02       2.254e-02
      -5.482e+02       6.880e-03
      -5.470e+02      -2.666e-02
      -5.458e+02      -6.627e-03
      -5.446e+02       4.370e-02
      -5.434e+02       1.062e-02
      -5.422e+02       1.728e-02
      -5.410e+02       2.246e-02
      -5.398e+02      -3.689e-02
      -5.386e+02       1.073e-02
      -5.374e+02       2.812e-02
      -5.362e+02      -2.713e-02
      -5.349e+02       2.954e-02
      -5.337e+02      -1.961e-02
      -5.325e+02      -2.721e-02
      -5.313e+02      -6.619e-04
      -5.301e+02       1.249e-02
      -5.289e+02      -2.291e-02
      -5.277e+02      -3.848e-03
      -5.265e+02       1.774e-02
      -5.253e+02      -2.380e-02
      -5.241e+02       1.137e-02
      -5.229e+02       1.430e-02
      -5.217e+02       2.861e-02
      -5.204e+02      -9.735e-03
      -5.192e+02      -2.806e-02
      -5.180e+02      -2.341e-02
      -5.168e+02      -1.094e-02
      -5.156e+02      -1.156e-02
      -5.144e+02       2.012e-02
      -5.132e+02       1.881e-02
      -5.120e+02      -1.204e-02
      -5.108e+02       2.418e-02
      -5.096e+02       3.667e-02
      -5.084e+02      -1.776e-02
      -5.072e+02       2.683e-02
      -5.060e+02      -1.724e-02
      -5.047e+02      -1.380e-02
      -5.035e+02      -5.636e-03
      -5.023e+02       9.167e-03
      -5.011e+02      -2.617e-02
      -4.999e+02      -8.955e-03
      -4.987e+02       6.124e-03
      -4.975e+02      -6.362e-03
      -4.963e+02      -6.866e-03
      -4.951e+02       2.798e-02
