 
      12  PHL2525n60 STCOR   PHL2525_cleanbaseavg.fits
GALACTIC
coordinates (deg)    7.756058e+01 -7.131686e+01
VLSR          Ta*
      -5.905e+02       1.556e-02
      -5.893e+02       4.180e-02
      -5.881e+02       1.929e-02
      -5.869e+02       4.510e-02
      -5.857e+02       3.826e-02
      -5.845e+02       4.154e-02
      -5.833e+02       3.294e-02
      -5.820e+02       4.761e-02
      -5.808e+02       5.070e-02
      -5.796e+02       3.621e-02
      -5.784e+02       2.623e-02
      -5.772e+02       3.515e-02
      -5.760e+02       1.997e-02
      -5.748e+02       3.765e-02
      -5.736e+02       3.411e-02
      -5.724e+02       2.504e-02
      -5.712e+02       4.311e-02
      -5.700e+02       3.348e-02
      -5.688e+02       3.336e-02
      -5.676e+02       4.831e-02
      -5.663e+02       2.912e-02
      -5.651e+02       2.027e-03
      -5.639e+02       3.693e-02
      -5.627e+02       4.083e-02
      -5.615e+02       3.289e-02
      -5.603e+02      -7.603e-03
      -5.591e+02       3.733e-02
      -5.579e+02       1.793e-02
      -5.567e+02       4.188e-02
      -5.555e+02       3.046e-02
      -5.543e+02       3.189e-02
      -5.531e+02       3.556e-02
      -5.519e+02       1.487e-02
      -5.506e+02       6.711e-03
      -5.494e+02       1.776e-02
      -5.482e+02       1.887e-02
      -5.470e+02       1.453e-02
      -5.458e+02       2.423e-02
      -5.446e+02       7.412e-03
      -5.434e+02       1.040e-02
      -5.422e+02       4.753e-03
      -5.410e+02       3.804e-02
      -5.398e+02       1.192e-02
      -5.386e+02       1.531e-02
      -5.374e+02      -4.492e-03
      -5.362e+02       6.408e-03
      -5.349e+02       2.261e-02
      -5.337e+02      -7.378e-03
      -5.325e+02       5.356e-03
      -5.313e+02       1.685e-02
      -5.301e+02      -1.848e-03
      -5.289e+02       3.170e-03
      -5.277e+02       7.406e-03
      -5.265e+02       7.716e-03
      -5.253e+02       1.296e-02
      -5.241e+02       1.504e-02
      -5.229e+02      -1.387e-02
      -5.217e+02      -4.036e-03
      -5.204e+02       6.023e-03
      -5.192e+02      -3.213e-03
      -5.180e+02      -1.460e-02
      -5.168e+02      -1.207e-02
      -5.156e+02       9.278e-03
      -5.144e+02       7.765e-03
      -5.132e+02       5.778e-03
      -5.120e+02       7.263e-03
      -5.108e+02       1.417e-03
      -5.096e+02      -8.253e-03
      -5.084e+02      -9.620e-03
      -5.072e+02      -2.128e-03
      -5.060e+02      -3.205e-03
      -5.047e+02       6.065e-03
      -5.035e+02       1.145e-04
      -5.023e+02       3.285e-02
      -5.011e+02       2.745e-03
      -4.999e+02      -4.676e-03
      -4.987e+02       8.483e-03
      -4.975e+02       1.803e-02
      -4.963e+02       5.656e-03
      -4.951e+02       3.074e-02
      -4.939e+02      -6.477e-03
