      14  PHL2525bp6 STCOR 0   PHL2525_cleanbaseavg.fits
GALACTIC
coordinates (deg)    8.068285e+01 -7.031698e+01
VLSR          Ta*
      -5.905e+02       2.273e-02
      -5.893e+02       2.434e-02
      -5.881e+02       2.103e-02
      -5.869e+02       2.033e-02
      -5.857e+02       6.296e-02
      -5.845e+02       3.119e-02
      -5.833e+02       6.644e-03
      -5.820e+02       3.458e-02
      -5.808e+02       5.061e-02
      -5.796e+02       5.126e-02
      -5.784e+02       3.386e-02
      -5.772e+02       3.793e-02
      -5.760e+02       2.160e-02
      -5.748e+02       2.453e-02
      -5.736e+02       3.660e-02
      -5.724e+02       3.024e-02
      -5.712e+02       4.244e-02
      -5.700e+02       2.662e-02
      -5.688e+02       3.116e-02
      -5.676e+02       3.401e-02
      -5.663e+02       3.451e-02
      -5.651e+02       3.172e-02
      -5.639e+02       2.379e-02
      -5.627e+02       2.706e-02
      -5.615e+02       1.629e-02
      -5.603e+02       2.534e-02
      -5.591e+02       3.908e-02
      -5.579e+02       3.402e-02
      -5.567e+02       3.001e-02
      -5.555e+02       2.164e-02
      -5.543e+02       1.345e-02
      -5.531e+02       5.079e-02
      -5.519e+02       4.146e-02
      -5.506e+02       4.158e-03
      -5.494e+02       4.238e-02
      -5.482e+02       2.749e-02
      -5.470e+02      -1.362e-02
      -5.458e+02      -6.178e-03
      -5.446e+02       1.291e-02
      -5.434e+02       1.808e-02
      -5.422e+02       2.177e-02
      -5.410e+02       6.286e-03
      -5.398e+02       1.180e-02
      -5.386e+02       1.943e-02
      -5.374e+02       8.865e-03
      -5.362e+02       1.274e-02
      -5.349e+02       3.747e-02
      -5.337e+02       7.748e-05
      -5.325e+02       9.195e-04
      -5.313e+02      -8.595e-04
      -5.301e+02       2.226e-02
      -5.289e+02       1.613e-02
      -5.277e+02       1.595e-02
      -5.265e+02       3.359e-02
      -5.253e+02       6.899e-03
      -5.241e+02       1.045e-02
      -5.229e+02       1.262e-02
      -5.217e+02       4.786e-03
      -5.204e+02       1.354e-02
      -5.192e+02      -3.641e-03
      -5.180e+02       3.719e-03
      -5.168e+02       1.968e-02
      -5.156e+02      -8.077e-03
      -5.144e+02       1.082e-02
      -5.132e+02       1.067e-02
      -5.120e+02       8.085e-03
      -5.108e+02      -3.568e-03
      -5.096e+02       2.005e-03
      -5.084e+02       1.261e-02
      -5.072e+02       3.131e-03
      -5.060e+02      -5.166e-03
      -5.047e+02       1.261e-02
      -5.035e+02      -2.862e-03
      -5.023e+02      -3.324e-02
      -5.011e+02      -2.254e-02
      -4.999e+02       1.316e-02
      -4.987e+02      -2.009e-03
      -4.975e+02      -2.377e-02
      -4.963e+02       1.812e-02
      -4.951e+02       3.020e-02
      -4.939e+02      -1.806e-02
      -4.927e+02       5.290e-03
      -4.915e+02      -9.729e-03
      -4.903e+02       7.082e-04
      -4.890e+02      -4.365e-03
      -4.878e+02       9.017e-03
      -4.866e+02       3.442e-02
      -4.854e+02       4.891e-03
      -4.842e+02       9.148e-03
      -4.830e+02      -1.621e-02
      -4.818e+02      -1.239e-02
      -4.806e+02       9.450e-03
      -4.794e+02       2.177e-02
      -4.782e+02       1.984e-02
      -4.770e+02      -1.507e-02
      -4.758e+02       3.399e-03
      -4.746e+02      -2.628e-02
      -4.733e+02      -1.093e-02
      -4.721e+02      -1.608e-02
      -4.709e+02       1.484e-02
      -4.697e+02      -2.220e-02
      -4.685e+02       1.825e-02
      -4.673e+02       1.798e-03
      -4.661e+02      -9.880e-04
      -4.649e+02      -6.013e-03
      -4.637e+02      -8.709e-03
      -4.625e+02      -7.733e-03
      -4.613e+02       5.077e-03
      -4.601e+02       9.292e-03
      -4.589e+02      -1.697e-02
      -4.576e+02      -3.580e-02
      -4.564e+02      -9.631e-03
      -4.552e+02      -5.971e-03
      -4.540e+02       2.507e-03
      -4.528e+02       8.292e-03
      -4.516e+02      -1.663e-02
      -4.504e+02      -2.254e-02
      -4.492e+02       1.112e-02
      -4.480e+02       2.528e-02
      -4.468e+02      -8.996e-03
      -4.456e+02      -9.621e-04
      -4.444e+02       3.990e-03
      -4.431e+02       3.277e-02
      -4.419e+02       4.364e-02
      -4.407e+02      -5.970e-03
      -4.395e+02      -9.158e-04
      -4.383e+02      -7.698e-03
      -4.371e+02       2.349e-02
      -4.359e+02      -7.549e-03
      -4.347e+02      -4.558e-03
      -4.335e+02       1.488e-02
      -4.323e+02      -5.648e-03
      -4.311e+02      -7.635e-03
      -4.299e+02      -1.107e-02
      -4.287e+02       1.473e-02
      -4.274e+02       4.038e-03
      -4.262e+02       4.026e-03
      -4.250e+02       5.271e-03
      -4.238e+02       8.130e-03
      -4.226e+02      -9.860e-03
      -4.214e+02      -1.040e-02
      -4.202e+02      -1.285e-02
      -4.190e+02       3.517e-02
      -4.178e+02       1.574e-02
      -4.166e+02       3.851e-03
      -4.154e+02      -1.346e-02
      -4.142e+02       1.491e-03
      -4.130e+02      -8.555e-03
      -4.117e+02       1.144e-02
      -4.105e+02       7.129e-03
      -4.093e+02      -1.331e-02
      -4.081e+02      -9.098e-03
      -4.069e+02       5.605e-03
      -4.057e+02      -4.428e-03
      -4.045e+02       1.894e-02
      -4.033e+02      -5.687e-03
      -4.021e+02      -1.198e-02
      -4.009e+02       8.569e-03
      -3.997e+02      -5.778e-03
      -3.985e+02      -3.092e-03
      -3.973e+02      -5.760e-03
      -3.960e+02      -5.282e-03
      -3.948e+02       1.054e-02
      -3.936e+02      -2.122e-03
      -3.924e+02      -1.485e-03
      -3.912e+02      -5.981e-03
      -3.900e+02      -6.228e-03
      -3.888e+02       9.505e-04
      -3.876e+02       1.694e-02
      -3.864e+02      -1.933e-03
      -3.852e+02      -2.133e-02
      -3.840e+02      -2.414e-02
      -3.828e+02      -4.224e-03
      -3.815e+02      -1.289e-02
      -3.803e+02      -8.776e-03
      -3.791e+02      -2.017e-02
      -3.779e+02       3.169e-02
      -3.767e+02       1.012e-02
      -3.755e+02      -1.067e-02
      -3.743e+02       7.588e-03
      -3.731e+02      -8.694e-03
      -3.719e+02       1.685e-02
      -3.707e+02       4.597e-03
      -3.695e+02      -4.290e-03
      -3.683e+02      -4.123e-03
      -3.671e+02      -1.143e-02
      -3.658e+02       1.360e-02
      -3.646e+02      -3.863e-03
      -3.634e+02       1.461e-02
      -3.622e+02      -9.247e-03
      -3.610e+02      -1.008e-02
      -3.598e+02      -6.674e-03
      -3.586e+02       2.613e-03
      -3.574e+02       7.275e-04
      -3.562e+02       1.154e-02
      -3.550e+02       5.682e-03
      -3.538e+02      -2.506e-04
      -3.526e+02      -2.270e-02
      -3.514e+02      -3.433e-03
      -3.501e+02      -1.578e-02
      -3.489e+02      -1.010e-02
      -3.477e+02      -9.223e-03
      -3.465e+02       6.607e-03
      -3.453e+02      -7.650e-04
      -3.441e+02      -6.652e-03
      -3.429e+02      -6.302e-03
      -3.417e+02      -7.842e-03
      -3.405e+02      -3.537e-03
      -3.393e+02      -7.668e-03
      -3.381e+02      -1.564e-02
      -3.369e+02       1.239e-02
      -3.357e+02       1.635e-03
      -3.344e+02      -6.572e-03
      -3.332e+02       5.884e-03
      -3.320e+02       1.489e-02
      -3.308e+02       6.280e-04
      -3.296e+02       6.401e-03
      -3.284e+02       3.844e-03
      -3.272e+02       1.822e-02
      -3.260e+02      -1.156e-02
      -3.248e+02      -3.992e-03
      -3.236e+02      -6.888e-03
      -3.224e+02      -9.052e-04
      -3.212e+02      -3.125e-03
      -3.200e+02       2.053e-02
      -3.187e+02       9.293e-03
      -3.175e+02       5.483e-03
      -3.163e+02      -1.784e-02
      -3.151e+02      -1.030e-02
      -3.139e+02       2.779e-02
      -3.127e+02       4.139e-03
      -3.115e+02       3.110e-02
      -3.103e+02       8.106e-03
      -3.091e+02      -1.548e-02
      -3.079e+02       1.434e-02
      -3.067e+02       1.171e-03
      -3.055e+02       9.983e-03
      -3.042e+02      -2.023e-02
      -3.030e+02      -1.805e-02
      -3.018e+02      -7.840e-04
      -3.006e+02       9.064e-04
      -2.994e+02      -1.474e-02
      -2.982e+02      -1.551e-02
      -2.970e+02       1.335e-02
      -2.958e+02       6.696e-03
      -2.946e+02      -1.292e-02
      -2.934e+02       1.212e-02
      -2.922e+02      -7.809e-03
      -2.910e+02       1.185e-02
      -2.898e+02      -4.006e-03
      -2.885e+02       1.556e-03
      -2.873e+02       1.443e-02
      -2.861e+02       1.747e-02
      -2.849e+02      -6.858e-03
      -2.837e+02      -2.866e-02
      -2.825e+02      -6.611e-03
      -2.813e+02       1.759e-02
      -2.801e+02      -3.067e-04
      -2.789e+02      -1.810e-02
      -2.777e+02      -1.977e-02
      -2.765e+02       7.982e-03
      -2.753e+02       4.405e-03
      -2.741e+02       1.454e-02
      -2.728e+02      -7.545e-03
      -2.716e+02      -1.313e-02
      -2.704e+02      -9.202e-03
      -2.692e+02      -1.700e-02
      -2.680e+02       5.034e-04
      -2.668e+02       9.379e-04
      -2.656e+02       1.253e-02
      -2.644e+02       1.307e-02
      -2.632e+02       4.587e-03
      -2.620e+02      -6.826e-03
