      17  PHL2525bn6 STCOR 0   PHL2525_cleanbaseavg.fits
GALACTIC
coordinates (deg)    8.068236e+01 -7.231680e+01
VLSR          Ta*
      -5.905e+02       2.200e-02
      -5.893e+02       2.413e-02
      -5.881e+02       8.037e-03
      -5.869e+02       2.005e-02
      -5.857e+02       9.183e-03
      -5.845e+02       2.928e-02
      -5.833e+02       3.337e-02
      -5.820e+02       1.455e-02
      -5.808e+02       1.659e-02
      -5.796e+02       3.350e-02
      -5.784e+02       2.180e-02
      -5.772e+02       1.838e-02
      -5.760e+02       1.861e-02
      -5.748e+02       2.911e-02
      -5.736e+02       2.607e-02
      -5.724e+02       3.555e-02
      -5.712e+02       1.417e-02
      -5.700e+02       1.631e-02
      -5.688e+02       2.159e-02
      -5.676e+02       3.757e-03
      -5.663e+02       2.806e-02
      -5.651e+02       3.042e-02
      -5.639e+02       2.252e-02
      -5.627e+02       1.537e-02
      -5.615e+02       2.153e-02
      -5.603e+02       1.019e-02
      -5.591e+02       1.215e-02
      -5.579e+02       7.951e-03
      -5.567e+02       2.339e-02
      -5.555e+02       5.933e-03
      -5.543e+02       1.633e-02
      -5.531e+02       1.902e-02
      -5.519e+02       1.028e-02
      -5.506e+02      -1.561e-03
      -5.494e+02       8.659e-03
      -5.482e+02       2.120e-03
      -5.470e+02       1.018e-02
      -5.458e+02       4.464e-03
      -5.446e+02      -1.290e-02
      -5.434e+02       2.033e-02
      -5.422e+02       2.460e-03
      -5.410e+02       3.202e-02
      -5.398e+02      -5.302e-03
      -5.386e+02      -2.203e-02
      -5.374e+02      -8.649e-03
      -5.362e+02       7.834e-03
      -5.349e+02      -1.312e-03
      -5.337e+02       1.412e-02
      -5.325e+02       1.555e-02
      -5.313e+02      -6.726e-03
      -5.301e+02       9.906e-03
      -5.289e+02       1.919e-03
      -5.277e+02      -5.988e-03
      -5.265e+02      -1.772e-02
      -5.253e+02      -1.275e-02
      -5.241e+02       8.870e-03
      -5.229e+02       3.194e-03
      -5.217e+02      -1.079e-02
      -5.205e+02       3.869e-03
      -5.192e+02      -7.220e-03
      -5.180e+02       1.382e-02
      -5.168e+02      -2.095e-03
      -5.156e+02       2.830e-02
      -5.144e+02       1.520e-03
      -5.132e+02       1.067e-02
      -5.120e+02       6.864e-03
      -5.108e+02      -6.917e-03
      -5.096e+02       4.973e-03
      -5.084e+02      -2.079e-02
      -5.072e+02       4.856e-03
      -5.060e+02      -2.934e-03
      -5.047e+02      -6.915e-03
      -5.035e+02       6.045e-03
      -5.023e+02       1.082e-02
      -5.011e+02      -3.014e-02
      -4.999e+02      -2.992e-02
      -4.987e+02       5.448e-03
      -4.975e+02       8.976e-03
      -4.963e+02       6.958e-03
      -4.951e+02      -1.337e-03
      -4.939e+02       2.255e-03
      -4.927e+02      -3.077e-02
