      7  WLM        STCOR   PHL2525_cleanbaseavg.fits
RADEC
coordinates (deg)    4.926071e-01 -1.546093e+01
VLSR          Ta*
      -5.905e+02      -1.798e-02
      -5.893e+02       4.537e-02
      -5.881e+02      -2.529e-03
      -5.869e+02       3.631e-02
      -5.857e+02       1.724e-02
      -5.845e+02       3.615e-02
      -5.833e+02       3.115e-02
      -5.820e+02       2.391e-02
      -5.808e+02       1.505e-02
      -5.796e+02       1.292e-02
      -5.784e+02       9.837e-03
      -5.772e+02       2.380e-02
      -5.760e+02       2.619e-02
      -5.748e+02      -2.230e-03
      -5.736e+02       4.045e-02
      -5.724e+02       2.804e-02
      -5.712e+02       3.574e-02
      -5.700e+02      -2.770e-02
      -5.688e+02       4.551e-02
      -5.676e+02       2.531e-02
      -5.663e+02       2.587e-02
      -5.651e+02       3.921e-02
      -5.639e+02       1.295e-02
      -5.627e+02       1.902e-02
      -5.615e+02       2.866e-02
      -5.603e+02       2.991e-02
      -5.591e+02       3.927e-02
      -5.579e+02       2.339e-02
      -5.567e+02       4.142e-02
      -5.555e+02       4.970e-02
      -5.543e+02       3.963e-02
      -5.531e+02      -2.321e-02
      -5.519e+02       2.488e-03
      -5.506e+02       1.222e-02
      -5.494e+02       3.037e-02
      -5.482e+02      -1.513e-02
      -5.470e+02       1.815e-02
      -5.458e+02       4.006e-03
      -5.446e+02       1.447e-02
      -5.434e+02       3.038e-02
      -5.422e+02      -1.738e-02
      -5.410e+02       4.142e-02
      -5.398e+02       7.409e-03
      -5.386e+02      -1.179e-02
      -5.374e+02       6.046e-04
      -5.362e+02       3.937e-02
      -5.349e+02       1.458e-02
      -5.337e+02       2.029e-02
      -5.325e+02      -4.116e-02
      -5.313e+02       8.507e-03
      -5.301e+02      -3.208e-02
      -5.289e+02       2.567e-03
      -5.277e+02       1.730e-02
      -5.265e+02       2.495e-02
      -5.253e+02       1.315e-02
      -5.241e+02       2.355e-02
      -5.229e+02       3.085e-02
      -5.217e+02       2.881e-02
      -5.205e+02      -2.126e-02
      -5.192e+02      -3.480e-04
      -5.180e+02       1.342e-02
      -5.168e+02      -1.441e-02
      -5.156e+02      -9.888e-05
      -5.144e+02      -3.161e-02
      -5.132e+02       5.948e-03
      -5.120e+02       1.134e-02
      -5.108e+02       1.220e-02
      -5.096e+02       3.279e-02
      -5.084e+02       3.368e-02
      -5.072e+02      -1.054e-02
      -5.060e+02      -3.585e-02
      -5.047e+02       1.584e-02
      -5.035e+02       1.281e-03
      -5.023e+02       1.681e-03
      -5.011e+02       1.571e-02
      -4.999e+02       1.299e-02
      -4.987e+02       1.525e-02
      -4.975e+02       2.146e-02
      -4.963e+02       1.002e-02
      -4.951e+02      -4.557e-03
      -4.939e+02       2.450e-02
      -4.927e+02      -3.877e-03
      -4.915e+02      -4.416e-02
      -4.903e+02      -4.647e-03
      -4.890e+02      -2.191e-02
      -4.878e+02       1.169e-02
      -4.866e+02      -1.160e-02
      -4.854e+02       6.417e-03
      -4.842e+02      -6.181e-03
      -4.830e+02      -7.100e-05
      -4.818e+02       8.930e-03
      -4.806e+02       8.737e-03
      -4.794e+02       6.703e-03
      -4.782e+02      -1.788e-02
      -4.770e+02      -3.070e-03
      -4.758e+02       4.486e-02
      -4.746e+02      -8.661e-03
      -4.733e+02       6.448e-03
      -4.721e+02       3.518e-02
      -4.709e+02       2.791e-02
      -4.697e+02      -4.877e-03
      -4.685e+02      -1.999e-02
      -4.673e+02       3.034e-02
      -4.661e+02       2.209e-02
      -4.649e+02       1.147e-02
      -4.637e+02       2.984e-02
      -4.625e+02      -2.223e-02
      -4.613e+02      -3.766e-03
      -4.601e+02       1.121e-02
      -4.589e+02       2.428e-02
      -4.576e+02       5.724e-03
      -4.564e+02       6.665e-03
      -4.552e+02       1.621e-02
      -4.540e+02       3.603e-03
      -4.528e+02      -1.922e-02
      -4.516e+02      -6.393e-03
      -4.504e+02      -8.242e-03
      -4.492e+02      -2.879e-03
      -4.480e+02       1.459e-02
      -4.468e+02      -3.855e-02
      -4.456e+02      -1.310e-03
      -4.444e+02      -1.570e-02
      -4.431e+02      -6.768e-02
      -4.419e+02      -1.214e-02
      -4.407e+02       1.510e-02
      -4.395e+02      -4.063e-03
      -4.383e+02      -1.556e-02
      -4.371e+02       1.072e-03
      -4.359e+02      -8.286e-03
      -4.347e+02      -2.836e-02
      -4.335e+02       1.632e-02
      -4.323e+02       2.239e-02
      -4.311e+02       4.694e-03
      -4.299e+02      -4.188e-02
      -4.287e+02       1.757e-03
      -4.274e+02      -6.420e-03
      -4.262e+02      -3.115e-02
      -4.250e+02       5.672e-03
      -4.238e+02      -2.100e-02
      -4.226e+02       1.152e-03
      -4.214e+02       1.350e-02
      -4.202e+02       1.842e-02
      -4.190e+02      -6.105e-03
      -4.178e+02       2.438e-03
      -4.166e+02      -3.324e-02
      -4.154e+02      -3.494e-02
      -4.142e+02       3.036e-02
      -4.130e+02       9.982e-03
      -4.117e+02       7.125e-03
      -4.105e+02       1.903e-02
      -4.093e+02       2.755e-02
      -4.081e+02      -1.041e-02
      -4.069e+02      -3.255e-04
      -4.057e+02       6.849e-03
      -4.045e+02       1.004e-02
      -4.033e+02       4.262e-02
      -4.021e+02       2.040e-02
      -4.009e+02      -5.183e-03
      -3.997e+02      -4.649e-02
      -3.985e+02      -1.224e-02
      -3.973e+02       2.231e-02
      -3.960e+02       1.231e-02
      -3.948e+02       3.688e-02
      -3.936e+02      -7.487e-03
      -3.924e+02      -2.158e-02
      -3.912e+02      -1.897e-02
      -3.900e+02      -3.153e-02
      -3.888e+02      -3.578e-02
      -3.876e+02       4.112e-03
      -3.864e+02      -3.165e-02
      -3.852e+02       3.556e-02
      -3.840e+02      -1.792e-02
      -3.828e+02      -1.603e-03
      -3.815e+02      -3.981e-02
      -3.803e+02       3.100e-02
      -3.791e+02       9.183e-03
      -3.779e+02       3.921e-02
      -3.767e+02       1.418e-03
      -3.755e+02       4.561e-04
      -3.743e+02       4.836e-03
      -3.731e+02      -2.060e-02
      -3.719e+02       6.364e-03
      -3.707e+02      -1.108e-02
      -3.695e+02       1.212e-02
      -3.683e+02       2.613e-02
      -3.671e+02      -7.454e-03
      -3.658e+02       7.143e-03
      -3.646e+02       8.300e-03
      -3.634e+02      -9.534e-03
      -3.622e+02       5.805e-03
      -3.610e+02      -8.883e-03
      -3.598e+02       4.280e-03
      -3.586e+02      -1.988e-02
      -3.574e+02       1.332e-02
      -3.562e+02      -1.877e-02
      -3.550e+02       3.281e-03
      -3.538e+02       8.444e-03
      -3.526e+02      -5.313e-03
      -3.514e+02      -2.579e-02
      -3.501e+02       4.284e-02
      -3.489e+02       4.812e-03
      -3.477e+02       3.172e-02
      -3.465e+02       1.870e-02
      -3.453e+02       1.644e-02
      -3.441e+02      -4.741e-02
      -3.429e+02       5.746e-03
      -3.417e+02       6.729e-03
      -3.405e+02      -2.086e-02
      -3.393e+02      -3.703e-03
      -3.381e+02      -1.055e-02
      -3.369e+02      -2.991e-02
      -3.357e+02      -1.652e-02
      -3.344e+02      -1.480e-02
      -3.332e+02      -2.875e-02
      -3.320e+02       7.686e-03
      -3.308e+02      -7.440e-03
      -3.296e+02       1.396e-02
      -3.284e+02      -2.223e-02
      -3.272e+02      -1.846e-02
      -3.260e+02      -2.965e-03
      -3.248e+02      -1.124e-03
      -3.236e+02       1.501e-02
      -3.224e+02      -3.308e-03
      -3.212e+02       1.011e-02
      -3.200e+02      -1.808e-02
      -3.187e+02       3.134e-02
      -3.175e+02       2.982e-02
      -3.163e+02      -5.694e-02
      -3.151e+02       1.923e-02
      -3.139e+02      -2.289e-02
      -3.127e+02       8.513e-04
      -3.115e+02      -1.845e-02
      -3.103e+02      -9.027e-04
      -3.091e+02       6.121e-02
      -3.079e+02      -9.160e-03
      -3.067e+02       1.431e-02
      -3.055e+02       1.660e-02
      -3.042e+02       1.966e-02
      -3.030e+02       2.318e-02
      -3.018e+02       3.551e-02
      -3.006e+02      -2.072e-02
      -2.994e+02      -2.305e-02
      -2.982e+02       3.738e-02
      -2.970e+02      -4.063e-03
      -2.958e+02       3.657e-02
      -2.946e+02      -3.162e-03
      -2.934e+02       1.902e-02
      -2.922e+02       7.886e-03
      -2.910e+02       1.955e-02
      -2.898e+02      -3.080e-02
      -2.885e+02      -4.791e-02
      -2.873e+02      -1.308e-03
      -2.861e+02      -2.113e-02
      -2.849e+02      -8.867e-03
      -2.837e+02      -2.568e-02
      -2.825e+02       2.223e-02
      -2.813e+02      -7.815e-03
      -2.801e+02       4.838e-03
      -2.789e+02      -1.332e-03
      -2.777e+02      -3.385e-03
      -2.765e+02      -1.101e-02
      -2.753e+02       2.500e-02
      -2.741e+02      -1.242e-02
      -2.728e+02       1.915e-02
      -2.716e+02       6.823e-03
      -2.704e+02       2.092e-02
      -2.692e+02       6.804e-03
      -2.680e+02       1.167e-02
      -2.668e+02      -2.234e-03
      -2.656e+02       1.837e-03
      -2.644e+02       1.794e-03
      -2.632e+02      -5.063e-03
      -2.620e+02      -2.558e-03
      -2.608e+02      -3.556e-02
      -2.596e+02      -1.212e-02
      -2.584e+02      -2.076e-02
      -2.571e+02       1.584e-02
      -2.559e+02       1.542e-02
      -2.547e+02       4.284e-02
      -2.535e+02      -1.212e-02
      -2.523e+02       5.538e-03
      -2.511e+02       1.251e-02
      -2.499e+02      -2.031e-02
      -2.487e+02      -2.503e-02
      -2.475e+02       2.740e-02
      -2.463e+02       2.735e-03
      -2.451e+02       1.052e-02
      -2.439e+02      -1.195e-02
      -2.426e+02       1.637e-02
      -2.414e+02      -2.412e-02
      -2.402e+02      -1.536e-02
      -2.390e+02       3.451e-02
      -2.378e+02       1.658e-02
      -2.366e+02      -2.500e-03
      -2.354e+02      -2.459e-02
      -2.342e+02       2.010e-02
      -2.330e+02       2.487e-02
      -2.318e+02       1.154e-02
      -2.306e+02       3.776e-03
      -2.294e+02       4.777e-03
      -2.282e+02       2.394e-02
      -2.269e+02       3.861e-02
      -2.257e+02       1.872e-02
      -2.245e+02       1.781e-02
      -2.233e+02      -2.469e-03
      -2.221e+02      -7.290e-03
      -2.209e+02       4.261e-02
      -2.197e+02       6.194e-02
      -2.185e+02       5.389e-02
      -2.173e+02       5.125e-02
      -2.161e+02       2.674e-02
      -2.149e+02       3.392e-02
      -2.137e+02       2.961e-02
      -2.125e+02       3.524e-02
      -2.112e+02       3.748e-02
      -2.100e+02       4.518e-02
      -2.088e+02       4.088e-02
      -2.076e+02       6.058e-02
      -2.064e+02       4.710e-02
      -2.052e+02       9.467e-02
      -2.040e+02       7.583e-02
      -2.028e+02       5.431e-02
      -2.016e+02       7.355e-02
      -2.004e+02       7.736e-02
      -1.992e+02       7.619e-02
      -1.980e+02       8.782e-02
      -1.968e+02       7.909e-02
      -1.955e+02       7.937e-02
      -1.943e+02       1.069e-01
      -1.931e+02       6.317e-02
      -1.919e+02       4.910e-02
      -1.907e+02       5.616e-02
      -1.895e+02       1.191e-02
      -1.883e+02       5.078e-02
      -1.871e+02       5.444e-02
      -1.859e+02       8.253e-02
      -1.847e+02       3.171e-02
      -1.835e+02       6.215e-02
      -1.823e+02       6.333e-02
      -1.811e+02       6.181e-02
      -1.798e+02       6.642e-02
      -1.786e+02       6.901e-02
      -1.774e+02       7.744e-02
      -1.762e+02       1.280e-01
      -1.750e+02       1.475e-01
      -1.738e+02       1.580e-01
      -1.726e+02       2.128e-01
      -1.714e+02       2.531e-01
      -1.702e+02       3.189e-01
      -1.690e+02       4.036e-01
      -1.678e+02       5.033e-01
      -1.666e+02       6.158e-01
      -1.653e+02       7.594e-01
      -1.641e+02       9.641e-01
      -1.629e+02       1.170e+00
      -1.617e+02       1.463e+00
      -1.605e+02       1.768e+00
      -1.593e+02       2.043e+00
      -1.581e+02       2.287e+00
      -1.569e+02       2.576e+00
      -1.557e+02       2.823e+00
      -1.545e+02       3.108e+00
      -1.533e+02       3.381e+00
      -1.521e+02       3.670e+00
      -1.509e+02       3.931e+00
      -1.496e+02       4.192e+00
      -1.484e+02       4.409e+00
      -1.472e+02       4.560e+00
      -1.460e+02       4.743e+00
      -1.448e+02       4.969e+00
      -1.436e+02       5.222e+00
      -1.424e+02       5.507e+00
      -1.412e+02       5.657e+00
      -1.400e+02       5.892e+00
      -1.388e+02       6.080e+00
      -1.376e+02       6.292e+00
      -1.364e+02       6.495e+00
      -1.352e+02       6.728e+00
      -1.339e+02       6.839e+00
      -1.327e+02       6.934e+00
      -1.315e+02       6.980e+00
      -1.303e+02       7.038e+00
      -1.291e+02       7.065e+00
      -1.279e+02       7.175e+00
      -1.267e+02       7.327e+00
      -1.255e+02       7.524e+00
      -1.243e+02       7.819e+00
      -1.231e+02       8.029e+00
      -1.219e+02       8.265e+00
      -1.207e+02       8.472e+00
      -1.195e+02       8.592e+00
      -1.182e+02       8.784e+00
      -1.170e+02       8.887e+00
      -1.158e+02       8.936e+00
      -1.146e+02       8.766e+00
      -1.134e+02       8.485e+00
      -1.122e+02       8.056e+00
      -1.110e+02       7.593e+00
      -1.098e+02       7.171e+00
      -1.086e+02       6.600e+00
      -1.074e+02       6.103e+00
      -1.062e+02       5.542e+00
      -1.050e+02       5.007e+00
      -1.037e+02       4.420e+00
      -1.025e+02       3.959e+00
      -1.013e+02       3.481e+00
      -1.001e+02       3.063e+00
      -9.892e+01       2.709e+00
      -9.771e+01       2.384e+00
      -9.650e+01       2.082e+00
      -9.529e+01       1.874e+00
      -9.409e+01       1.622e+00
      -9.288e+01       1.452e+00
      -9.167e+01       1.244e+00
      -9.046e+01       1.098e+00
      -8.925e+01       9.308e-01
      -8.805e+01       7.398e-01
      -8.684e+01       6.312e-01
      -8.563e+01       5.556e-01
      -8.442e+01       4.123e-01
      -8.322e+01       3.596e-01
      -8.201e+01       2.999e-01
      -8.080e+01       2.591e-01
      -7.959e+01       2.052e-01
      -7.838e+01       1.600e-01
      -7.718e+01       1.146e-01
      -7.597e+01       1.024e-01
      -7.476e+01       9.502e-02
      -7.355e+01       3.907e-02
      -7.235e+01       7.673e-02
      -7.114e+01       5.111e-02
      -6.993e+01       5.771e-02
      -6.872e+01       5.427e-02
      -6.751e+01       2.218e-02
      -6.631e+01      -1.585e-02
      -6.510e+01       5.422e-02
      -6.389e+01       2.686e-02
      -6.268e+01      -9.837e-03
      -6.147e+01       2.610e-02
      -6.027e+01       1.269e-02
      -5.906e+01       2.493e-02
      -5.785e+01       1.095e-02
      -5.664e+01       4.230e-02
      -5.544e+01       4.176e-02
      -5.423e+01       7.094e-02
      -5.302e+01       1.408e-02
      -5.181e+01       1.436e-02
      -5.060e+01       4.997e-02
      -4.940e+01       3.329e-02
      -4.819e+01       6.739e-02
      -4.698e+01       7.235e-02
      -4.577e+01       9.651e-02
      -4.457e+01       7.190e-02
      -4.336e+01       7.749e-02
      -4.215e+01       1.195e-01
      -4.094e+01       1.112e-01
      -3.973e+01       1.424e-01
      -3.853e+01       1.887e-01
      -3.732e+01       2.046e-01
      -3.611e+01       2.383e-01
      -3.490e+01       2.399e-01
      -3.369e+01       2.613e-01
      -3.249e+01       2.718e-01
      -3.128e+01       3.574e-01
      -3.007e+01       3.886e-01
      -2.886e+01       4.738e-01
      -2.766e+01       4.999e-01
      -2.645e+01       6.047e-01
      -2.524e+01       7.422e-01
      -2.403e+01       9.281e-01
      -2.282e+01       1.098e+00
      -2.162e+01       1.323e+00
      -2.041e+01       1.552e+00
      -1.920e+01       1.877e+00
      -1.799e+01       2.234e+00
      -1.679e+01       2.694e+00
      -1.558e+01       3.203e+00
      -1.437e+01       3.556e+00
      -1.316e+01       3.655e+00
      -1.195e+01       3.688e+00
      -1.075e+01       3.890e+00
      -9.538e+00       4.137e+00
      -8.330e+00       4.437e+00
      -7.123e+00       4.912e+00
      -5.915e+00       5.371e+00
      -4.707e+00       5.368e+00
      -3.499e+00       5.024e+00
      -2.291e+00       4.877e+00
      -1.083e+00       4.595e+00
       1.245e-01       4.145e+00
       1.332e+00       3.657e+00
       2.540e+00       3.026e+00
       3.748e+00       2.403e+00
       4.956e+00       1.959e+00
       6.164e+00       1.482e+00
       7.371e+00       1.099e+00
       8.579e+00       9.010e-01
       9.787e+00       6.931e-01
       1.099e+01       5.358e-01
       1.220e+01       4.467e-01
       1.341e+01       3.447e-01
       1.462e+01       3.014e-01
       1.583e+01       2.342e-01
       1.703e+01       1.867e-01
       1.824e+01       1.838e-01
       1.945e+01       1.461e-01
       2.066e+01       1.262e-01
       2.187e+01       8.471e-02
