# pointing    RA          DEC      l        b          ml       mb      vc
1             0.1014     -12.7632  80.6827  -71.3169  -75.0385  1.5168  nan
2             0.9250     -12.1690  83.8046  -71.3169  -75.3437  2.4691  nan
3             0.5098     -12.4612  82.2437  -71.3169  -75.1972  1.9910  nan
4             359.7002   -13.0748  79.1219  -71.3170  -74.8677  1.0469  -204.7
5             359.3062   -13.3957  77.5606  -71.3169  -74.6850  0.5813  -207.45
6             359.4743   -11.9728  80.6829  -70.3170  -75.9829  1.1874  -189.8
7             359.7874   -12.3682  80.6828  -70.8169  -75.5108  1.3521  nan
8             0.416473   -13.1578  80.6828  -71.8169  -74.5662  1.6814  -251.0
9             0.7324     -13.5521  80.6824  -72.3168  -74.0939  1.8458  nan
10            0.8248     -12.8558  82.2836  -71.8169  -74.7245  2.1553  -258.3
11            359.3852   -12.6786  79.1597  -70.8159  -75.3409  0.8814  -203.3
12            0.0151     -13.4702  79.0800  -71.8170  -74.3952  1.2114  nan
13            0.1946     -12.0659  82.2037  -70.8160  -75.6705  1.8257  nan

